Grupo,Subgrupo,Produto,Unidade,Regiao,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Agrotóxico,Acaricida,"TALENTO, 500 G/KG, HEXYTHIAZOX, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, WP",KG,Centro-Oeste,GO,2022,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0
Agrotóxico,Acaricida,VERTIMEC,L,Nordeste,BA,2022,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Centro-Oeste,DF,2022,23000.0,23000.0,23000.0,15600.0,15500.0,15500.0,15594.0,16000.0,16000.0,16000.0,16000.0,15570.0
Agrotóxico,Acaricida,"DANIMEN, 300 EC",L,Sul,SC,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18900.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"DANIMEN, 300 EC",L,Norte,RO,2023,0.0,0.0,18833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19270.0,19270.0
Agrotóxico,Acaricida,ENVIDOR,L,Sudeste,SP,2023,36000.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39000.0,0.0
Agrotóxico,Acaricida,"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,Sudeste,SP,2023,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39000.0,32725.0
Agrotóxico,Acaricida,"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,Sul,SC,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40750.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,Centro-Oeste,GO,2023,0.0,0.0,59800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"KUMULUS, 800 G/KG, ENXOFRE, BASF S.A., BENTLEY, INORGÂNICO, DF",KG,Sudeste,SP,2023,1004.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0
