Produto,Unidade,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Grupo,Subgrupo
"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,SC,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","407,50","0,00","0,00","0,00",Agrotóxico,Acaricida
"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,GO,2023,"0,00","0,00","598,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"KUMULUS, 800 G/KG, ENXOFRE, BASF S.A., BENTLEY, INORGÂNICO, DF",KG,SP,2023,"10,04","0,00","18,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","13,20","0,00",Agrotóxico,Acaricida
"OBERON, 240 G/L, ESPIROMESIFENO, BAYER S.A., 5310, CETOENOL",L,SP,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","143,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,MG,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","188,00","0,00",Agrotóxico,Acaricida
"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,SP,2023,"0,00","0,00","78,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","88,31","77,90",Agrotóxico,Acaricida
"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,ES,2023,"0,00","0,00","109,25","0,00","0,00","0,00","0,00","0,00","0,00","0,00","111,44","0,00",Agrotóxico,Acaricida
"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,BA,2023,"0,00","0,00","110,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","39,80","0,00",Agrotóxico,Acaricida
"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,SC,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","118,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"SANMITE, 200 G/L, PIRIDABEM, IHARABRAS S.A. INDUSTRIAS QUÍMICAS, 650 ADVANCED, PIRIDAZINONA",L,MG,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","125,00","0,00",Agrotóxico,Acaricida
"SAVEY, 500 G/KG, HEXITIAZOXI, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, PM","30,00 G",SP,2023,"0,00","0,00","68,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","39,60","39,60",Agrotóxico,Acaricida
"DANIMEN, 300 EC",L,SC,2024,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","173,20","0,00","0,00","0,00",Agrotóxico,Acaricida
"DANIMEN, 300 EC",L,RO,2024,"0,00","0,00","200,00","0,00","0,00","0,00","0,00","0,00","0,00","190,00","0,00","0,00",Agrotóxico,Acaricida
ENVIDOR,L,SP,2024,"0,00","0,00","287,50","0,00","0,00","0,00","0,00","0,00","0,00","390,00","0,00","0,00",Agrotóxico,Acaricida
"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,SP,2024,"0,00","0,00","199,75","0,00","0,00","0,00","0,00","0,00","0,00","205,08","0,00","0,00",Agrotóxico,Acaricida
"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,SC,2024,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","353,75","0,00","0,00","0,00",Agrotóxico,Acaricida
"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,GO,2024,"0,00","0,00","212,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"KUMULUS, 800 G/KG, ENXOFRE, BASF S.A., BENTLEY, INORGÂNICO, DF",KG,SP,2024,"0,00","0,00","21,05","0,00","0,00","0,00","0,00","0,00","0,00","41,00","0,00","0,00",Agrotóxico,Acaricida
"OBERON, 240 G/L, ESPIROMESIFENO, BAYER S.A., 5310, CETOENOL",L,SP,2024,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","138,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"OBERON, 240 G/L, ESPIROMESIFENO, BAYER S.A., 5310, CETOENOL",L,SC,2024,"0,00","0,00","0,00","0,00","0,00","320,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,MG,2024,"0,00","0,00","85,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,SP,2024,"0,00","0,00","76,94","0,00","0,00","0,00","0,00","0,00","0,00","97,15","0,00","0,00",Agrotóxico,Acaricida
"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,ES,2024,"0,00","0,00","97,00","0,00","0,00","0,00","0,00","0,00","0,00","97,00","0,00","0,00",Agrotóxico,Acaricida
"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,BA,2024,"0,00","0,00","82,00","0,00","0,00","0,00","0,00","0,00","0,00","98,00","0,00","0,00",Agrotóxico,Acaricida
"SANMITE, 200 G/L, PIRIDABEM, IHARABRAS S.A. INDUSTRIAS QUÍMICAS, 650 ADVANCED, PIRIDAZINONA",L,MG,2024,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","130,00","0,00","0,00",Agrotóxico,Acaricida
"SAVEY, 500 G/KG, HEXITIAZOXI, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, PM","30,00 G",SP,2024,"0,00","0,00","40,68","0,00","0,00","0,00","0,00","0,00","0,00","65,76","0,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,GO,2020,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","75,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,PR,2020,"0,00","0,00","34,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,SC,2021,"0,00","0,00","76,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","108,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,RJ,2021,"0,00","0,00","95,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,PR,2021,"0,00","0,00","123,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,MG,2021,"30,00","30,00","57,50","29,00","30,00","33,00","60,00","250,00","257,00","250,00","92,00","250,00",Agrotóxico,Acaricida
